계약일,자치구명,법정동명,건물명,물건금액(만원),평,평당금액(만원),층,건축년도,건물연령
2026-01-02,금천구,시흥동,시흥베르빌,74700,24.5515322019542,3042.5799655002465,10.0,2004.0,22.0
2026-01-02,구로구,구로동,신도림태영타운,126500,25.673836101279612,4927.195121951218,18.0,2000.0,26.0
2026-01-02,중랑구,신내동,신내6대주,60000,18.077865505036755,3318.975903614458,4.0,1996.0,30.0
2026-01-02,중랑구,묵동,신내두산아파트,106500,38.200683667604444,2787.908219828951,7.0,1995.0,31.0
2026-01-02,노원구,상계동,상계주공12(고층),46000,15.107239011404543,3044.8978774529437,1.0,1988.0,38.0
2026-01-02,은평구,진관동,상림마을8단지롯데캐슬(801~809동)BL1-2,73000,17.932661766040475,4070.7844129554655,6.0,2008.0,18.0
2026-01-02,노원구,상계동,수락리버시티3단지,63000,25.619384699156004,2459.075451647184,2.0,2009.0,17.0
2026-01-02,용산구,동자동,센트레빌아스테리움서울,205000,45.088786036240435,4546.585038577658,22.0,2013.0,13.0
2026-01-02,용산구,동자동,센트레빌아스테리움서울,183000,39.64364582387997,4616.12438000763,16.0,2013.0,13.0
2026-01-02,동대문구,전농동,세화,59000,21.7926611610249,2707.333425874514,1.0,2002.0,24.0
2026-01-02,강동구,명일동,삼익가든,140500,20.22869588891914,6945.578734858681,8.0,1984.0,42.0
2026-01-02,양천구,목동,건영,71500,25.52863236228333,2800.776750799858,3.0,1994.0,32.0
2026-01-02,노원구,월계동,서울원 아이파크,140000,25.50654929364431,5488.78636573882,34.0,0.0,2026.0
2026-01-02,노원구,월계동,서울원 아이파크,144490,25.50654929364431,5664.8195856114435,22.0,0.0,2026.0
2026-01-02,강동구,천호동,성원아파트,73000,25.15352270320961,2902.177991581479,5.0,1998.0,28.0
2026-01-02,양천구,목동,성원2,98500,34.65831745167438,2842.0306362922233,13.0,2000.0,26.0
2026-01-02,동작구,대방동,성원,118000,25.507456817013036,4626.098197343454,1.0,1994.0,32.0
2026-01-02,노원구,월계동,서울원 아이파크,146347,25.61061197325831,5714.310933015202,33.0,0.0,2026.0
2026-01-02,도봉구,도봉동,서원,34300,15.055812687176696,2278.1898734177216,4.0,1996.0,30.0
2026-01-02,양천구,신정동,신트리4,71500,18.06879027134949,3957.099447513812,8.0,2000.0,26.0
2026-01-02,양천구,신정동,신트리4,63000,14.974135583991288,4207.254545454545,15.0,2000.0,26.0
2026-01-02,서초구,서초동,서초센트럴IPARK,203000,24.35641467767795,8334.560019872073,14.0,2020.0,6.0
2026-01-02,서초구,서초동,서초자이,285000,45.02223432253381,6330.205603708929,15.0,2006.0,20.0
2026-01-02,중랑구,면목동,용마산모아엘가파크포레,81500,25.38342862328705,3210.7561673221308,3.0,2023.0,3.0
2026-01-02,용산구,원효로1가,용산더프라임,140000,18.016456423752913,7770.673472471749,4.0,2014.0,12.0
2026-01-02,노원구,중계동,신동아(366),120700,34.894273527543334,3459.020286085826,11.0,1993.0,33.0
2026-01-02,동작구,신대방동,우성1차,134000,25.710137036028677,5211.951994352277,14.0,1988.0,38.0
2026-01-02,노원구,중계동,건영3,125000,25.682911334966878,4867.049469964664,6.0,1995.0,31.0
2026-01-02,도봉구,도봉동,한신,61500,25.6950116465499,2393.4606781257357,12.0,1995.0,31.0
2026-01-02,양천구,신정동,학마을1단지,54000,15.122364400883324,3570.8701740348065,11.0,2000.0,26.0
2026-01-02,서대문구,충정로3가,피어리스,67000,25.48325619384699,2629.1773504273506,12.0,1987.0,39.0
2026-01-02,노원구,공릉동,풍림아파트A,83000,25.710137036028677,3228.298623367455,14.0,2001.0,25.0
2026-01-02,성동구,성수동1가,트리마제,578000,25.659013219590406,22526.19752184011,33.0,2017.0,9.0
2026-01-02,금천구,시흥동,우방,65300,34.75511994433857,1878.859865958743,19.0,2002.0,24.0
