순위,전체_대여소번호,전체_대여소명,전체_이용건수,출근_대여소번호,출근_대여소명,출근_이용건수,퇴근_대여소번호,퇴근_대여소명,퇴근_이용건수,주말_대여소번호,주말_대여소명,주말_이용건수
13,"792","792.목동트라팰리스 웨스턴에비뉴",70074,"1166","1166. 강서구립등빛도서관",14860,"4452","4452. 삼성SDS",17845,"1153","""1153. 발산역 1번, 9번 인근 대여소""",21977
14,"769","769.CBS방송국 앞",69556,"508","508. 성수아카데미타워 앞",14798,"5052","5052. 마곡역 7번출구",17656,"769","769.CBS방송국 앞",21890
15,"4217","4217. 한강공원 망원나들목",69466,"5867","5867. H타워 앞",14139,"502","502. 자양(뚝섬한강공원)역 1번출구 앞",17484,"272","272. 당산육갑문",21863
16,"3533","3533. 건대입구역 사거리(롯데백화점)",68937,"5052","5052. 마곡역 7번출구",13873,"209","209. 유진투자증권빌딩 앞",17419,"2102","2102. 봉림교 교통섬",20677
17,"247","247. 당산역 10번출구 앞",67725,"1157","1157. 강서구청",13367,"1911","1911. 구로디지털단지역 앞",17379,"3533","3533. 건대입구역 사거리(롯데백화점)",20609
18,"785","""785.양천구청, 보건소 사잇길""",67616,"1906","1906. 신도림역 1번 출구 앞",13084,"769","769.CBS방송국 앞",17054,"4940","4940.한강버스 압구정 선착장",20197
19,"4870","4870. 몽촌토성역 3번 출구",67510,"787","787.양천아파트 입구",13055,"113","113. 홍대입구역 2번출구 앞",16839,"792","792.목동트라팰리스 웨스턴에비뉴",20140
20,"272","272. 당산육갑문",67379,"5070","5070. 마곡13단지힐스테이트마스터 후문(1320동 앞)",12800,"247","247. 당산역 10번출구 앞",16523,"2728","2728.마곡나루역 3번 출구",19691
21,"1160","1160. 양천향교역 7번출구앞",67279,"259","259. 대방역6번출구",12647,"785","""785.양천구청, 보건소 사잇길""",16311,"765","765. 오목교역 3번출구",19363
22,"1166","1166. 강서구립등빛도서관",67255,"1911","1911. 구로디지털단지역 앞",12588,"2622","2622. 올림픽공원역 3번출구",16141,"5651","5651.한강버스 옥수 선착장",19084
23,"3939","3939.신도림역 3번출구",67072,"4561","4561. 양평역 1번출구",12586,"202","202. 국민일보 앞",16104,"230","230. 영등포구청역 7번출구",18943
24,"5052","5052. 마곡역 7번출구",66948,"4571","4571. 문래동롯데캐슬아파트",12442,"1124","1124. 발산역 6번 출구 뒤",16093,"1124","1124. 발산역 6번 출구 뒤",18731
25,"765","765. 오목교역 3번출구",66480,"5858","5858. 영등포역5번출구",11977,"217","217. NH농협은행 앞",15917,"4870","4870. 몽촌토성역 3번 출구",18680
26,"4565","4565. 영등포 신세계백화점",66307,"1167","1167. 마곡수명산파크3단지 교차로",11927,"4565","4565. 영등포 신세계백화점",15664,"5768","5768.방이삼거리",17926
27,"2102","2102. 봉림교 교통섬",65867,"4897","4897. 잠실주공5단지1",11772,"4457","4457. 아산병원 기숙사 부근",15640,"2620","2620. 송파나루역 4번 출구옆",17390
28,"5768","5768.방이삼거리",64144,"726","726. 목동3단지 시내버스정류장",11717,"5082","5082. 가양역 7번출구",15373,"247","247. 당산역 10번출구 앞",16637
29,"2733","2733.마곡13단지 정문 앞",63937,"1153","""1153. 발산역 1번, 9번 인근 대여소""",11272,"1906","1906. 신도림역 1번 출구 앞",15252,"2701","2701. 마곡나루역 5번출구 뒤편",16553
30,"3798","3798. 그랜드아이파크아파트 앞",63748,"797","797.목동아파트 1422동 1434동 사잇길",11270,"1986","1986. 태평양물산",14820,"3939","3939.신도림역 3번출구",16485
31,"583","583. 청계천 생태교실 앞",62641,"1160","1160. 양천향교역 7번출구앞",11227,"1152","1152. 마곡역교차로",14814,"1009","1009. 천호역4번출구(현대백화점)",16393
32,"2721","2721.등촌1-10단지 교차로",62188,"1173","1173. 강서구청사거리(SH타워)",11201,"5878","5878. 우리은행 앞",14448,"1166","1166. 강서구립등빛도서관",16184
33,"5891","5891.한강버스 여의도 선착장",61488,"3780","3780. 등촌서광아파트",11197,"1151","1151. 마곡역1번출구",14417,"186","186. 월드컵공원",16154
34,"5082","5082. 가양역 7번출구",61448,"280","280. 양평동6차현대아파트 앞",11105,"5515","5515.한강버스 망원 선착장",14333,"785","""785.양천구청, 보건소 사잇길""",16048
35,"2620","2620. 송파나루역 4번 출구옆",61183,"2745","2745.수명초등학교",10857,"508","508. 성수아카데미타워 앞",14242,"3534","3534. 건대입구역 5번출구 뒤",15939
36,"529","529. 장한평역 8번 출구 앞",60925,"1867","1867.대륭포스트타워6차 앞",10846,"792","792.목동트라팰리스 웨스턴에비뉴",14179,"1222","1222. 잠실새내역 5번 출구 뒤",15798
37,"1050","1050.  둔촌역 3번 출입구",60119,"5882","5882. 휴젠느",10823,"4893","4893. 문정법조단지12",14012,"5858","5858. 영등포역5번출구",15584
38,"113","113. 홍대입구역 2번출구 앞",59869,"1019","1019. 다성이즈빌아파트(호원대 대각선 맞은편)",10806,"1009","1009. 천호역4번출구(현대백화점)",14003,"1078","1078.둔촌사거리",15458
39,"1906","1906. 신도림역 1번 출구 앞",59498,"1151","1151. 마곡역1번출구",10580,"765","765. 오목교역 3번출구",13856,"1911","1911. 구로디지털단지역 앞",15256
40,"1151","1151. 마곡역1번출구",59399,"1192","1192. 마곡수명산파크 209동 건너편",10577,"1160","1160. 양천향교역 7번출구앞",13835,"207","207. 여의나루역 1번출구 앞",15189
41,"5858","5858. 영등포역5번출구",59215,"2622","2622. 올림픽공원역 3번출구",10549,"529","529. 장한평역 8번 출구 앞",13523,"1050","1050.  둔촌역 3번 출입구",15189
42,"3534","3534. 건대입구역 5번출구 뒤",58808,"4108","4108. 답십리파크자이아파트 앞",10394,"2727","2727.서울식물원 잔디마당 앞",13386,"746","746. 목동2단지 상가",14832
43,"5153","5153.한강버스 뚝섬 선착장",58351,"4531","4531. 목동아파트 613동 앞",10291,"272","272. 당산육갑문",13233,"3511","3511. 응봉역 1번출구",14719
44,"508","508. 성수아카데미타워 앞",57587,"3668","3668. 성내삼성아파트",10135,"4870","4870. 몽촌토성역 3번 출구",13225,"1160","1160. 양천향교역 7번출구앞",14595
45,"1009","1009. 천호역4번출구(현대백화점)",57506,"2611","2611. 송파지역자활센터 뒤",10121,"1190","1190. 마곡역 교차로(2번출구)",13143,"2733","2733.마곡13단지 정문 앞",14560
46,"1867","1867.대륭포스트타워6차 앞",56544,"502","502. 자양(뚝섬한강공원)역 1번출구 앞",10099,"3533","3533. 건대입구역 사거리(롯데백화점)",13138,"2621","2621. 한성백제역 2번 출구",14507
47,"2717","2717.LG유플러스 마곡사옥",56514,"240","240. 문래역 4번출구 앞",10085,"2721","2721.등촌1-10단지 교차로",13075,"3798","3798. 그랜드아이파크아파트 앞",14419
48,"1222","1222. 잠실새내역 5번 출구 뒤",55811,"3518","3518. 군자역 7번출구뒤",10080,"4543","4543. 오목교역 6번 출구",12880,"853","853.용산역 맞은편",14407
49,"781","781.신정보도육교 아래",55742,"584","584. 광진광장 교통섬",9982,"308","308. 광화문 S타워 앞",12703,"585","585. 성수2가1동 공영주차장 인근",14369
50,"3518","3518. 군자역 7번출구뒤",55695,"2718","2718.마곡수명산파크1단지",9943,"1195","1195. 코오롱One&Only타워",11958,"1625","1625. 상계역 3번출구",13974
51,"1625","1625. 상계역 3번출구",55091,"1020","1020. 강동경찰서",9883,"788","788.양천구청역 2번출구 옆",11643,"113","113. 홍대입구역 2번출구 앞",13647
52,"4574","4574. 영등포시장역 포레나영등포",54936,"5887","5887.나루마을 마당공원",9848,"243","243. 이앤씨드림타워 앞",11640,"781","781.신정보도육교 아래",13542
53,"1112","1112. 마곡엠밸리4단지 정문",54666,"3881","3881. 신자초교입구 교차로",9598,"770","770.목동역5번출구",11630,"797","797.목동아파트 1422동 1434동 사잇길",13515
54,"1152","1152. 마곡역교차로",54446,"1182","1182. KBS 스포츠월드",9550,"1084","1084. 윤선생빌딩(JYP사옥)",11627,"4543","4543. 오목교역 6번 출구",13489
55,"4543","4543. 오목교역 6번 출구",53602,"4029","4029. 청소년수련관 후문",9352,"3518","3518. 군자역 7번출구뒤",11586,"5082","5082. 가양역 7번출구",13459
56,"2739","2739.수명산파크1단지교차로",53373,"3784","3784. 벽산아파트",9304,"5870","5870. LG트윈타워 앞",11530,"3681","3681. 길동 마루빌딩",13375
57,"4457","4457. 아산병원 기숙사 부근",53097,"247","247. 당산역 10번출구 앞",9277,"4137","4137. 답십리역 4번출구",11524,"2219","""2219. 고속터미널역 8-1번, 8-2번 출구 사이""",13373
58,"726","726. 목동3단지 시내버스정류장",52964,"2732","2732.마곡수명산 1-2단지",9186,"207","207. 여의나루역 1번출구 앞",11375,"1906","1906. 신도림역 1번 출구 앞",13357
59,"585","585. 성수2가1동 공영주차장 인근",52416,"4574","4574. 영등포시장역 포레나영등포",9107,"4574","4574. 영등포시장역 포레나영등포",11367,"726","726. 목동3단지 시내버스정류장",13247
60,"797","797.목동아파트 1422동 1434동 사잇길",52209,"6058","6058. 시청역 2번출구",9096,"1023","1023. 한국종합기술사옥 앞",11342,"4574","4574. 영등포시장역 포레나영등포",13210
61,"708","708. 서울출입국관리사무소 앞",52154,"1113","1113. 서남환경공원 버스정류장",9048,"5099","5099. LG사이언스파크 E7동",11323,"1925","1925. 동양미래대학교 정문 옆",13120
62,"5784","5784.한강버스 잠실 선착장",51916,"1617","1617. 하계동 중평어린이공원 앞",8986,"2801","2801. 대륭포스트타워1차",11283,"1112","1112. 마곡엠밸리4단지 정문",13018
63,"1019","1019. 다성이즈빌아파트(호원대 대각선 맞은편)",51646,"1908","1908. 해원리바파크 육교 밑",8933,"291","291. 문래동 하이테크 시티",11209,"780","780.신정교 하부",12905
64,"3569","3569.건대병원후문",51584,"734","734. 신트리공원 입구",8924,"5768","5768.방이삼거리",11209,"4531","4531. 목동아파트 613동 앞",12679
